# File: A54.CalPrice_trn.csv
# Title: Prices by service in the base years. Used to calibrate sigma parameter
# Units: 1975$/unit
# Source: GCAM v6.0 output
# Column types: ccnnnn 
# ----------
region,sector,1990,2005,2010,2015
Southeast Asia,trn_freight,0.0511226,0.0608262,0.0667305,0.0662588
Southeast Asia,trn_pass,0.0526665,0.0660667,0.0753228,0.0818931
Southeast Asia,trn_shipping_intl,0.00164043,0.00169503,0.00227043,0.00240667
Taiwan,trn_aviation_intl,0.0895202,0.0998677,0.112397,0.114955
Taiwan,trn_freight,0.0594856,0.0637331,0.0749522,0.0874885
Taiwan,trn_pass,0.122104,0.216944,0.254766,0.277358
Taiwan,trn_shipping_intl,0.00168984,0.00173988,0.00229553,0.00240681
USA,trn_aviation_intl,0.104186,0.117211,0.124847,0.128918
USA,trn_freight,0.0543974,0.0569426,0.0689752,0.0644679
USA,trn_pass,0.338636,0.406717,0.419991,0.436488
USA,trn_shipping_intl,0.0016605,0.00170838,0.0022818,0.00243569
